,obsid,fitsname,snrg,snrr,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err,ra_obs,dec_obs,gaia_source_id,gaia_g_mean_mag,figname,R_mean,R_mean_err,V_mean,V_mean_err,H_mean_tri,H_mean_tri_err,K_mean_tri,K_mean_tri_err,S_tri,S_tri_err,S_MWL,S_MWL_err,H_mean_rec,H_mean_rec_err,K_mean_rec,K_mean_rec_err,S_rec,S_rec_err,condition_tag
1080,1216137,spec-55863-B6301_sp16-137.fits,51.12,73.19,5721.46,35.1,4.229,0.05,-0.269,0.03,-67.27,4.74,339.435058,32.869247,1.901309011793101e+18,14.720037,CaIIHK_obsid-001216137_spec-55863-B6301_sp16-137.png,540.444277,5.105291,422.372122,6.166099,148.894224,16.629928,115.201594,17.050804,0.274295,0.024842,0.215267,0.019496,147.688595,21.259066,114.737521,21.778192,0.272561,0.031691, 
1081,1216142,spec-55863-B6301_sp16-142.fits,87.57,117.79,6310.49,26.38,4.058,0.037,-0.285,0.022,12.84,3.62,339.725007,32.909847,1.9012836886661896e+18,13.813131,CaIIHK_obsid-001216142_spec-55863-B6301_sp16-142.png,1634.011857,7.354692,1380.731009,8.506631,459.91743,19.049994,410.367549,21.039841,0.288676,0.009476,0.226553,0.007437,451.04399,24.31021,407.840723,26.904268,0.284895,0.012075, 
1082,1216143,spec-55863-B6301_sp16-143.fits,63.77,88.89,6225.81,26.94,4.209,0.038,-0.389,0.023,1.93,3.59,339.265643,32.811573,1.9013195215765059e+18,14.64394,CaIIHK_obsid-001216143_spec-55863-B6301_sp16-143.png,962.478657,6.233331,814.94271,7.551685,288.044808,18.32384,273.031023,20.175106,0.315668,0.015432,0.247737,0.012111,286.56586,23.389902,272.304772,25.811603,0.314428,0.019674, 
1083,1216145,spec-55863-B6301_sp16-145.fits,83.13,117.4,6075.8,26.78,3.984,0.038,-0.14,0.022,-67.93,3.64,339.735576,32.779091,1.9012805275701422e+18,13.93048,CaIIHK_obsid-001216145_spec-55863-B6301_sp16-145.png,1331.310003,6.732066,1106.782896,7.852657,347.307523,18.207299,263.906898,19.529266,0.250694,0.011003,0.196744,0.008635,341.650028,23.246509,258.214781,24.976046,0.246039,0.014034, 
1084,1216152,spec-55863-B6301_sp16-152.fits,111.94,173.31,5552.84,34.82,4.397,0.048,0.212,0.027,6.68,5.18,339.390065,32.471996,1.9012457898744307e+18,13.5289,CaIIHK_obsid-001216152_spec-55863-B6301_sp16-152.png,1604.076134,6.512335,1117.18168,7.088945,405.349593,16.157914,340.787183,17.672394,0.274188,0.008853,0.215183,0.006948,399.79423,20.594787,338.971182,22.569612,0.271479,0.011269, 
1085,1216154,spec-55863-B6301_sp16-154.fits,116.6,157.06,6334.03,24.87,4.187,0.034,-0.347,0.019,14.31,3.76,339.335933,32.525326,1.9012938247886625e+18,13.438104,CaIIHK_obsid-001216154_spec-55863-B6301_sp16-154.png,2387.050886,7.803297,2011.991991,8.853245,706.544024,19.295274,634.005735,20.986927,0.304737,0.006532,0.239157,0.005126,697.636852,24.63109,628.799245,26.826227,0.301528,0.008318, 
1086,1216166,spec-55863-B6301_sp16-166.fits,51.23,83.87,5210.48,32.18,4.57,0.046,0.031,0.028,-11.46,4.35,339.458109,32.515289,1.9012477483796252e+18,14.534417,CaIIHK_obsid-001216166_spec-55863-B6301_sp16-166.png,417.053019,4.712318,282.538547,5.69293,105.560048,15.532481,104.576701,16.907495,0.300371,0.032971,0.235731,0.025876,104.509939,19.878771,104.61136,21.621995,0.298919,0.042102, 
1087,1216168,spec-55863-B6301_sp16-168.fits,64.42,80.31,6677.85,31.15,4.088,0.044,-0.258,0.027,13.37,4.16,338.964332,32.530689,1.901214694311734e+18,13.900303,CaIIHK_obsid-001216168_spec-55863-B6301_sp16-168.png,979.911014,5.934674,833.168859,6.894843,328.843549,17.309135,305.956897,18.575147,0.350123,0.014113,0.274776,0.011076,322.577303,22.130332,301.900887,23.731229,0.344429,0.01798, 
1088,1216172,spec-55863-B6301_sp16-172.fits,59.69,85.86,5919.06,32.0,4.162,0.046,-0.36,0.027,-5.72,4.28,339.345316,32.43528,1.901245240118618e+18,14.701468,CaIIHK_obsid-001216172_spec-55863-B6301_sp16-172.png,697.912389,5.221006,562.231123,6.273815,202.335804,15.671506,166.549032,17.073317,0.292732,0.018488,0.229736,0.01451,199.350133,20.03524,165.44177,21.812864,0.289484,0.023578, 
1089,1216180,spec-55863-B6301_sp16-180.fits,59.28,86.24,5871.4,31.58,4.012,0.045,0.279,0.027,-34.32,4.22,338.702562,32.582882,1.9012137665986642e+18,14.73133,CaIIHK_obsid-001216180_spec-55863-B6301_sp16-180.png,595.833501,4.813748,455.963036,5.744335,138.021858,14.820091,113.81679,15.600036,0.239437,0.020529,0.18791,0.016111,138.237325,18.953494,113.407087,19.94416,0.239252,0.026214, 
